spp,approx,error
90,0.17777777777777778,0.05211407163418605
91,0.08791208791208792,0.03775161823150382
92,0.21739130434782608,0.09172759820423435
93,0.08602150537634409,0.03964220076724764
94,0.1702127659574468,0.04454905981385507
95,0.042105263157894736,0.083558442985697
96,0.16666666666666666,0.04100296052307492
97,0.12371134020618557,0.0019523659374061642
98,0.16326530612244897,0.03760159997885723
99,0.12121212121212122,0.00445158493147052
100,0.2,0.07433629385640828
101,0.19801980198019803,0.0723560958366063
102,0.11764705882352941,0.008016647320062326
103,0.23300970873786403,0.1073460025942723
104,0.19230769230769232,0.06664398616410058
105,0.1142857142857143,0.01137799185787744
106,0.18867924528301885,0.06301553913942712
107,0.037383177570093455,0.08828052857349827
108,0.25925925925925924,0.1335955531156675
109,0.07339449541284404,0.052269210730747695
110,0.10909090909090909,0.01657279705268265
111,0.2162162162162162,0.09055251007262446
112,0.07142857142857142,0.05423513471502031
113,0.07079646017699115,0.054867245966600586
114,0.07017543859649122,0.05548826754710051
115,0.034782608695652174,0.09088109744793957
116,0.06896551724137931,0.056698188902212426
117,0.17094017094017094,0.04527646479657921
118,0.13559322033898305,0.009929514195391315
119,0.10084033613445378,0.02482337000913795
120,0.13333333333333333,0.007669627189741596
121,0.06611570247933884,0.05954800366425289
122,0.09836065573770492,0.02730305040588682
123,0.13008130081300814,0.004417594669416408
124,0.12903225806451613,0.0033685519209243897
125,0.192,0.06633629385640827
126,0.09523809523809523,0.030425610905496503
127,0.31496062992125984,0.1892969237776681
128,0.1875,0.061836293856408264
129,0.06201550387596899,0.06364820226762274
130,0.18461538461538463,0.05895167847179289
131,0.15267175572519084,0.02700804958159911
132,0.15151515151515152,0.025851445371559784
133,0.09022556390977443,0.035438142233817305
134,0.208955223880597,0.08329151773700527
135,0.237037037037037,0.11137333089344525
136,0.08823529411764705,0.037428412025944685
137,0.08759124087591241,0.03807246526767932
138,0.028985507246376812,0.09667819889721492
139,0.14388489208633093,0.018221185942739193
140,0.14285714285714285,0.017193436713551113
141,0.05673758865248227,0.06892611749110947
142,0.14084507042253522,0.015181364278943482
143,0.1958041958041958,0.07014048966060407
144,0.1111111111111111,0.01455259503248063
145,0.1103448275862069,0.01531887855738484
146,0.1917808219178082,0.06611711577421647
147,0.05442176870748299,0.07124193743610874
148,0.08108108108108109,0.04458262506251065
149,0.0,0.12566370614359174
150,0.13333333333333333,0.007669627189741596
151,0.10596026490066225,0.019703441242929484
152,0.13157894736842105,0.00591524122482931
153,0.13071895424836602,0.005055248104774285
154,0.12987012987012989,0.00420642372653815
155,0.20645161290322583,0.0807879067596341
156,0.07692307692307693,0.04874062922051481
157,0.15286624203821655,0.02720253589462482
158,0.25316455696202533,0.1275008508184336
159,0.12578616352201258,0.0001224573784208427
160,0.07500000000000001,0.050663706143591725
161,0.12422360248447203,0.0014401036591197014
162,0.09876543209876543,0.02689827404482631
163,0.19631901840490798,0.07065531226131624
164,0.04878048780487805,0.07688321833871369
165,0.048484848484848485,0.07717885765874324
166,0.07228915662650603,0.0533745495170857
167,0.09580838323353294,0.029855322910058796
168,0.14285714285714285,0.017193436713551113
169,0.07100591715976332,0.05465778898382842
170,0.11764705882352941,0.008016647320062326
171,0.0,0.12566370614359174
172,0.18604651162790697,0.06038280548431524
173,0.09248554913294797,0.03317815701064376
174,0.09195402298850575,0.03370968315508599
175,0.2057142857142857,0.08005057957069397
